mijiadezhongshifensi	米_家__的_忠____实__粉__丝_
weiweiyouwengan	微__微__有__温__感__
buzhuyijibenganjuebuchu	不_注__意_基_本__感__觉__不_出__
lianggeyuewoyijingmaile4taixiaomile	两____个_月__我_已_经___买__了_4台__小___米_了_
kefumeizi	客_服_妹__子_
geiliaobu	给__撩___不_
dongxibucuo	东___西_不_错__
danpaixiacaifaxian20tianneifahuo	但__拍__下__才__发_现___20天___内__发_货__
denglehaojiu	等___了_好__久__
geiwomamamaide	给__我_妈_妈_买__的_
tahenxihuan	她_很__喜_欢___
jiushidenglehaojiucaidaohuo	就__是__等___了_好__久__才__到__货__
binaxieshangqiandeshoujiyongqilaibuchashenme	比_那_些__上____千___的_手___机_用___起_来__不_差__什___么_
henbucuo	很__不_错__
henkuai	很__快___
yongqilaihenfangbian	用___起_来__很__方___便___
shouganyehenhao	手___感__也_很__好__
haixing	还__行___
jiushi	就__是__
meiyoukuaijiediaojingyindejian	没__有__快___捷__调___静___音__的_键___
pingmushouganbitongdengjiaweidemeizuchaledian	屏___幕_手___感__比_同___等___价__位__的_魅__族_差__了_点___
wuliutingkuai	物_流__挺___快___
geilaorenyongtingheshi	给__老__人__用___挺___合_适__
wobawandetingshunshoude	我_爸_玩__的_挺___顺___手___的_
kuanshibucuo	款___式__不_错__
shihelaorenyong	适__合_老__人__用___
xiangsucha	像____素_差__
fanyinghaikeyi	反__应___还__可_以_
fahuoman	发_货__慢__
shuangshiermaideshouji	双_____十__二_买__得_手___机_
shiertianyihoudaodeshou	十__二_天___以_后__到__的_手___
shouxianshichicunhaishibijiaomanyide	首___先___是__尺__寸__还__是__比_较___满__意_的_
xiguanle2kping	习_惯___了_2k屏___
720depingmukanqilaiyansebutaigou	720的_屏___幕_看__起_来__颜__色_不_太__够__
jishidiaodaoxianyan	即_使__调___到__鲜___艳__
yansehaishibugouxini	颜__色_还__是__不_够__细_腻_
chupingbulingmin	触__屏___不_灵___敏__
youshihoudianjicidoumeifanying	有__时__候__点___几_次_都__没__反__应___
xiaolongsihechaqiangrenyi	骁___龙___四_核_差__强____人__意_
wange7mdetanchisheyouxidouka	玩__个_7m的_贪__吃__蛇__游__戏_都__卡_
shoujikafuwujingchangzidongduandiao	手___机_卡_服_务_经___常____自_动___断___掉___
feidezhongqicainengyouxinhao	非__得_重____启_才__能___有__信__号__
dangzuobeiyongjihaikeyi	当___做__备__用___机_还__可_以_
zuozhuyongjidehaixukaolv	做__主__用___机_的_还__需_考__虑_
songgeimamadeliwu	送___给__妈_妈_的_礼_物_
laorenjiaxuezheyong	老__人__家__学__着__用___
bucuo	不_错__
geimamamaide	给__妈_妈_买__的_
yongleyiduanshijiancailaipinglun	用___了_一_段___时__间___才__来__评___论__
mamadounengjiayudeshouji	妈_妈_都__能___驾__驭_的_手___机_
shoujiyiban	手___机_一_般__
fahuoman	发_货__慢__
kefubijiaomang	客_服_比_较___忙___
zongzhijiushiyibanban	总___之__就__是__一_般__般__
dianchixuhangfeichangqiangdaya	电___池__续_航___非__常____强____大_呀_
benlaiyongdeshipingguo	本__来__用___的_是__苹___果__
maizhegeshidangbeiyongjiyongde	买__这__个_是__当___备__用___机_用___的_
jieguoxianzaipingguochenglebeiyongle	结__果__现___在__苹___果__成____了_备__用___了_
keyi	可_以_
maigeimamayongde	买__给__妈_妈_用___的_
xihuanjiuhao	喜_欢___就__好__
wobuzhidaotamenshizafahuode	我_不_知__道__他_们__是__咋_发_货__的_
gongsitongshibiwowanfukuanshiergexiaoshi	公___司_同___事__比_我_晚__付_款___十__二_个_小___时__
jingranbiwodezaofahuowutian	竟___然__比_我_的_早__发_货__五_天___
yonglejitianle	用___了_几_天___了_
ganjuehaibucuo	感__觉__还__不_错__
dianlianghaikeyi	电___量____还__可_以_
ranhouwandaxingyouxijiubuyaole	然__后__玩__大_型___游__戏_就__不_要__了_
taikale	太__卡_了_
yibanshiyongdehuahaishikeyide	一_般__使__用___的_话__还__是__可_以_的_
buguozhegewuliushizaishitaimanle	不_过__这__个_物_流__实__在__是__太__慢__了_
yijingwulitucao	已_经___无_力_吐_槽__
laogongyongdetinghao	老__公___用___的_挺___好__
jiushitaihoule	就__是__太__厚__了_
buguojiagehaixing	不_过__价__格_还__行___
henhaoo	很__好__哦
denglehaojiuzhongyunadaoshoule	等___了_好__久__终____于_拿_到__手___了_
fadeshunfeng	发_的_顺___丰___
nalaidangbeiyongji	拿_来__当___备__用___机_
henhao	很__好__
zan	赞__
benlaiyiweikeyicirida	本__来__以_为__可_以_次_日_达_
jieguoduodengleyitiao	结__果__多__等___了_一_条___
sanxiang0fenchaping	三__项____0分__差__评___
fahuozhenshijibaman	发_货__真___是__几_把_慢__
zainimenjiamaidisanbulezhonglaimeizheyang	在__你_们__家__买__第_三__部_了_重____来__没__这__样___
shengqi	生____气_
meifapaishe	没__法_拍__摄__
benjimeiyoushouyinjigongneng	本__机_没__有__收___音__机_功___能___
kanxiangceyoushihaishimeiyoufanyingguolai	看__相____册_有__时__还__是__没__有__反__应___过__来__
kadun	卡_顿__
paisheguochengzhong	拍__摄__过__程____中____
dongzuodejiushanshuolihai	动___作__的_就__闪___烁___利_害__
genbenkanbuqing	根__本__看__不_清___
henhaoyong	很__好__用___
geimamamaide	给__妈_妈_买__的_
zijiyong	自_己_用___
kanqilaiyehaibucuo	看__起_来__也_还__不_错__
xiangjibuhao	相____机_不_好__
zhaopiantecha	照___片___特_差__
yongleyigexingqi	用___了_一_个_星___期_
youshihoushoujimeifanying	有__时__候__手___机_没__反__应___
qitadoubucuo	其_他_都__不_错__
bucuo	不_错__
mailaizhuyaoweiledadianhuaeryi	买__来__主__要__为__了_打_电___话__而_已_
gongnengdounenggoumanzujiuhaole	功___能___都__能___够__满__足_就__好__了_
yonglejitian	用___了_几_天___
meiyouchuxianwenti	没__有__出__现___问__题_
zhengtihaikeyi	整____体_还__可_以_
geipopomaide	给__婆_婆_买__的_
popohenxihuan	婆_婆_很__喜_欢___
baobeibucuo	宝__贝__不_错__
henkuaishoudaole	很__快___收___到__了_
kefufuwutaiduhenhaoo	客_服_服_务_态__度_很__好__哦
yongleyigexingqizaipingjiade	用___了_一_个_星___期_再__评___价__的_
dongxibucuo	东___西_不_错__
suiranshuoerjishizengpin	虽__然__说___耳_机_是__赠___品__
yanseyeshisuiji	颜__色_也_是__随__机_
ruguonengshaoweikaolvgukepipeixiayansejiugenghaole	如_果__能___稍___微__考__虑_顾_客_匹_配__下__颜__色_就__更___好__了_
zhiqianyongdemi3	之__前___用___的_米_3
huanlemi5	换___了_米_5
xiaomiyirujiwangdehaoyonga	小___米_一_如_既_往___的_好__用___阿
shoujiyishoudao	手___机_已_收___到__
ganjuehaibucuo	感__觉__还__不_错__
haisongleerji	还__送___了_耳_机_
quanxinweichaifengde	全___新__为__拆___封___的_
jiushiganjuewaifanglabayoudiansiside	就__是__感__觉__外__放___喇_叭_有__点___斯_斯_的_
shoujizhongyudaohuola	手___机_终____于_到__货__啦_
zhiganbucuo	质__感__不_错__
zhiwenshibiehaisuanlingmin	指__纹__识__别__还__算___灵___敏__
paizhaoxiaoguoyiban	拍__照___效___果__一_般__
dangeimamayeyegoule	蛋__给__妈_妈_也_也_够__了_
kandaom5youzhongjingyandeganjue	看__到__m5有__种____惊___艳__的_感__觉__
bukuishimuqianxiaomizuipiaoliangdeshouji	不_愧__是__目_前___小___米_最__漂___亮____的_手___机_
shoujihenqingbao	手___机_很__轻___薄__
yongleyixiaganjuehaibucuo	用___了_一_下__感__觉__还__不_错__
quedianjiushidianchiyoudianbunaiyong	缺__点___就__是__电___池__有__点___不_耐__用___
shoujishoudaopingmudoushihuaide	手___机_收___到__屏___幕_都__是__坏___的_
shenqingtuihuoyizhibeijujue	申___请___退__货__一_直__被__拒_绝__
shouhoufuwuyigezhuanyige	售___后__服_务_一_个_转____一_个_
zuihouzhijiemeirenlile	最__后__直__接__没__人__理_了_
zaiyebumaixiaomile	再__也_不_买__小___米_了_
tinghao	挺___好__
diyicichongmandianhaizaishiyongzhong	第_一_次_充____满__电___还__在__使__用___中____
diandeshihou	点___的_时__候__
xinhaoyigegedizengranhoudijian	信__号__一_格_格_递_增___然__后__递_减___
chongmandianjiuhaole	充____满__电___就__好__了_
bixiangxiangzhongdekuai	比_想____象____中____的_快___
n	嗯
woshimifenwoaixiaomi	我_是__米_粉__我_爱_小___米_
xiaomi	小___米_
weifashaoersheng	为__发_烧___而_生____
maigeimamade	买__给__妈_妈_的_
teyiyonglejitianlaipingjia	特_意_用___了_几_天___来__评___价__
shuohenxihuan	说___很__喜_欢___
muqianmeimaobing	目_前___没__毛__病___
bucuo	不_错__
shifenmanyi	十__分__满__意_
yijingmailexiaomidehaoduochanpinle	已_经___买__了_小___米_的_好__多__产___品__了_
zhiliangmeideshuo	质__量____没__得_说___
dianzan	点___赞__
fahuosuduhaikeyi	发_货__速_度_还__可_以_
shoujizhengpinhenhao	手___机_正____品__很__好__
henliuchang	很__流__畅____
shexiangtoutingqingxide	摄__像____头__挺___清___晰_的_
tiyanmanyi	体_验__满__意_
henbucuoshouji	很__不_错__手___机_
meiyouwenti	没__有__问__题_
xingjiabigao	性___价__比_高__
kanzheyehenhao	看__着__也_很__好__
henhao	很__好__
yongzhefangbian	用___着__方___便___
xitongliuchang	系_统___流__畅____
haisongleerji	还__送___了_耳_机_
dianhuamaowenti	电___话__冇__问__题_
wentixifahuohaoman	问__题_係_发_货__好__慢__
qianhoujiamaichawuduowuri	前___后__加__埋__差__唔_多__五_日_
kefu	客_服_
fahuosudubuxing	发_货__速_度_不_行___
dengleliangtiancaifa	等___了_两____天___才__发_
zhiyuxingneng	至__于_性___能___
zhengzaishiyong	正____在__使__用___
zanshihaimeifaxianwenti	暂__时__还__没__发_现___问__题_
kuanshihenhaokan	款___式__很__好__看__
yongqilaiyehenliuchang	用___起_来__也_很__流__畅____
meiyouwenti	没__有__问__题_
qitadouhenhao	其_他_都__很__好__
shoujihenpiaoliang	手___机_很__漂___亮____
1000maizheyangdeshoujibijiaomanyi	1000买__这__样___的_手___机_比_较___满__意_
jiushinagezhiwenjiesuoyetailajile	就__是__那_个_指__纹__解__锁__也_太__垃_圾_了_
jiuyigejuetou	就__一_个_噱__头__
bucuo	不_错__
buguoburusongyigebianyidiandenazhongtoumingshuijingkeheganghuamo	不_过__不_如_送___一_个_便___宜_点___的_那_种____透__明___水___晶___壳_和_钢___化__膜_
xianmaileshoujikezimeidaotingjiujie	先___买__了_手___机_壳_子_没__到__挺___纠__结__
wuliuhengeili	物_流__很__给__力_
getianjiudaole	隔_天___就__到__了_
yongleliangtianle	用___了_两____天___了_
ganjuehaixing	感__觉__还__行___
miwuzhenshitaihualeo	米_五_真___是__太__滑__了_哦
xiwanghouqibuhuiyoushenmewenti	希_望___后__期_不_会__有__什___么_问__题_
zhengzaishiyongdangzhong	正____在__使__用___当___中____
xiaoguobucuo	效___果__不_错__
manyi	满__意_
weishenmemaishoujidoufaems	为__什___么_买__手___机_都__发_ems
kuaiditaimanle	快___递_太__慢__了_
dengdaohuaerdouxiele	等___到__花__儿_都__谢__了_
haibucuo	还__不_错__
meixiangdaotianmaoshangnenggouqiangdaoshouji	没__想____到__天___猫__上____能___够__抢____到__手___机_
haitinghaoyongde	还__挺___好__用___的_
jiushifahuotaimanle	就__是__发_货__太__慢__了_
xiadan72xiaoshifahuo	下__单__72小___时__发_货__
keshisitianhaimeifa	可_是__四_天___还__没__发_
daleercidianhuacaifahuo	打_了_二_次_电___话__才__发_货__
huopindezhilianghaikeren	货__品__的_质__量____还__可_认__
jianzhile	简___直__了_
genkefuxiaomijingjingjiaoliujiuxiangduiniudanqin	跟__客_服_小___米_晶___晶___交___流__就__像____对__niu弹__琴__
dafeisuowen	答_非__所__问__
yikaishigaosuwo72xiaoshineifahuo	一_开__始__告__诉_我_72小___时__内__发_货__
kuaidao72xiaoshiwozhuiwen	快___到__72小___时__我_追___问__
yougaosuwoshiyushou7tiancaifa	又__告__诉_我_是__预_售___7天___才__发_
woshuowozhoumojiuzou	我_说___我_周___末_就__走__
pianpianshoujizhouyidao	偏___偏___手___机_周___一_到__
daolekuaidibusonghuo	到__了_快___递_不_送___货__
kefuyoushuozijiwunenglicui	客_服_又__说___自_己_无_能___力_催__
peifu	佩__服_
kanshibucuode	看__似__不_错__的_
jiushiyinxiangxiaoguoyibanban	就__是__音__响____效___果__一_般__般__
nengtishengxiajiuhaole	能___提_升____下__就__好__了_
jiaqianyeshikeyidea	加__钱___也_是__可_以_的_啊
gangmaidaodeshouji	刚___买__到__的_手___机_
tongguogezhongjihuozhongyukeyiyongle	通___过__各_种____激_活__终____于_可_以_用___了_
buguoyikaishiyongzongganjueshimeihuanxing	不_过__一_开__始__用___总___感__觉__是__没__唤___醒___
tebieka	特_别__卡_
dengyongleyiduancaihaode	等___用___了_一_段___才__好__的_
buzhidaoshibushiyikaishiyoushenmezidonggengxin	不_知__道__是__不_是__一_开__始__有__什___么_自_动___更___新__
shoujibucuo	手___机_不_错__
waiguanfeichanghaokan	外__观___非__常____好__看__
wuliuyefeichangkuai	物_流__也_非__常____快___
fahuo2tianjiudaole	发_货__2天___就__到__了_
yongleliangtian	用___了_两____天___
suduhaishifeichangkuaide	速_度_还__是__非__常____快___的_
zhengtilaishuohaishifeichangbucuode	整____体_来__说___还__是__非__常____不_错__的_
keyide	可_以_的_
shougan	手___感__
zhiliang	质__量____
fanyingsududouhenhao	反__应___速_度_都__很__好__
xingjiabizuigao	性___价__比_最__高__
meiyouzhiyi	没__有__之__一_
shoujizhiliangbucuo	手___机_质__量____不_错__
yongqilaihenhao	用___起_来__很__好__
haoping	好__评___
maidaowobuxiangpinglunle	买__到__我_不_想____平___论__了_
zongzhiyijuhua	总___之__一_句_话__
zhiyaojizimeiwentijiuhaoyong	只__要__机_子_没__问__题_就__好__用___
yiwantaidangzhongzongyoujitaishibuhegede	一_万__台__当___中____总___有__几_台__是__不_合_格_的_
kanniyunqile	看__你_运__气_了_
yongleyiduanshijian	用___了_一_段___时__间___
juedexiaomiyuelaiyuebuhaoyongle	觉__得_小___米_越__来__越__不_好__用___了_
meiyouyuanlaidemi4hao	没__有__原___来__的_米_4好__
chupingcha	触__屏___差__
fanyingman	反__应___慢__
shantui	闪___退__
yihaodian	易_耗__电___
haiyoushoujihougaitaihuale	还__有__手___机_后__盖__太__滑__了_
buxiaoxinjiuhualuole	不_小___心__就__滑__落__了_
bianyuandoukepenglehaojigeaocao	边___缘___都__磕_碰___了_好__几_个_凹_槽__
houmianmaileshoujikesuirangaishanlediandanwojuedewodeshoujihaishixinmaidema	后__面___买__了_手___机_壳_虽__然__改__善___了_点___但__我_觉__得_我_的_手___机_还__是__新__买__的_吗_
haowan	好__玩__
ganjueyiweidepingguo4douhaoxie	感__觉__以_为__的_苹___果__4都__好__些__
xiangjipaizhaobushihenlixiang	相____机_拍__照___不_是__很__理_想____
bugouxini	不_够__细_腻_
danshibijiaoguochanji	但__是__比_较___国__产___机_
xiaomihenhoudao	小___米_很__厚__到__
bushuomouta	不_说___某__他_
jiunashujuxian	就__拿_数__据_线___
gouzhang	够__长____
shoujihaixing	手___机_还__行___
jiushizhiwenshibiebushitebieling	就__是__指__纹__识__别__不_是__特_别__灵___
yaoduoshijici	要__多__试__几_次_
ouerhuiyoukadun	偶_尔_会__有__卡_顿__
shoujiganggangshoudao	手___机_刚___刚___收___到__
henhao	很__好__
waiguanwanhaowusun	外__观___完__好__无_损__
zhengchangyunxing	正____常____运__行___
houqigenjinpingjia	后__期_跟__进__评___价__
yijingyonglejitian	已_经___用___了_几_天___
yikaishihaidanxinhuimaijia	一_开__始__还__担__心__会__买__假__
xianzaiganjueyinggaibushi	现___在__感__觉__应___该__不_是__
xingjiabibijiaogao	性___价__比_比_较___高__
henshihewo	很__适__合_我_
xihuan	喜_欢___
zhendetingbucuode	真___的_挺___不_错__的_
meiyoubierenshuodenamebuhao	没__有__别__人__说___的_那_么_不_好__
shijianchuzhenzhi	实__践___出__真___知__
wojuedezhendeshihenbucuodeyicigouwu	我_觉__得_真___的_是__很__不_错__的_一_次_购__物_
yizhiyongxiaomishouji	一_直__用___小___米_手___机_
ganjuebucuo	感__觉__不_错__
pengyoutuijianmaibiedepaizi	朋___友__推__荐___买__别__的_牌__子_
haishiganjuexiaomihao	还__是__感__觉__小___米_好__
chulexiangsuganjuemeijinkoupinpaiqingxiwai	除__了_像____素_感__觉__没__进__口__品__牌__清___晰_外__
qitadoubucuo	其_它_都__不_错__
zongtixingjiabihenhao	总___体_性___价__比_很__好__
meizuyizhihenhao	魅__族_一_直__很__好__
congmp3kaishi	从___mp3开__始__
haoyong	好__用___
bianyia	便___宜_啊
tingbucuodeshouji	挺___不_错__的_手___机_
zuogongjia	做__工___佳__
xitonghenyouxinideganjue	系_统___很__有__细_腻_的_感__觉__
bucuode	不_错__的_
tinghao	挺___好__
zhizhegejia	值__这__个_价__
nazhekuanshoujiderenzhuyila	那_这__款___手___机_的_人__注__意_啦_
shoujiwaifangshengyinbijiaoxiaohaiyouzayinyinzhibuhao	手___机_外__放___声____音__比_较___小___还__有__杂_音__音__质__不_好__
shoujikacaobijiaosongdong	手___机_卡_槽__比_较___松___动___
pingmushangduanlvedaihuangping	屏___幕_上____端___略__带__黄____屏___
pingmusizhouyoufengxi	屏___幕_四_周___有__缝___隙_
shoujiyuanquanjianguangliangbujunyun	手___机_圆___圈___键___光____亮____不_均__匀__
xitonglingshengshizhujianbiandabunengxiugai	系_统___铃___声____是__逐__渐___变___大_不_能___修__改__
shexiangtouwai	摄__像____头__歪__
dingbufengxida	顶___部_缝___隙_大_
xiaoyuanquanliangdubujunyun	小___圆___圈___亮____度_补_均__匀__
paizhaohaikeyi	拍__照___还__可_以_
meizuquanxilieshoujidouyoule	魅__族_全___系_列__手___机_都__有__了_
zheshimaidedierbumeilan	这__是__买__的_第_二_部_魅__蓝__
